Monat,Jahr,Key,"Verbraucherpreisindex insgesamt"
Sep,2022,1,10
Aug,2022,2,7.9
Jul,2022,3,7.5
Jun,2022,4,nan
Mai,2022,5,7.9
Apr,2022,6,7.4
Mär,2022,7,nan
Feb,2022,8,5.1
Jan,2022,9,4.9
Dez,2021,10,5.3
Nov,2021,11,nan
Okt,2021,12,4.5
Sep,2021,13,4.1
Aug,2021,14,3.9
Jul,2021,15,3.8
Jun,2021,16,2.3
Mai,2021,17,2.5
Apr,2021,18,2
Mär,2021,19,1.7
Feb,2021,20,1.3
Jan,2021,21,1
Dez,2020,22,-0.3
Nov,2020,23,-0.3
Okt,2020,24,nan
Sep,2020,25,-0.2
Aug,2020,26,0
Jul,2020,27,-0.1
Jun,2020,28,0.9
Mai,2020,29,0.6
Apr,2020,30,0.9
Mär,2020,31,1.4
Feb,2020,32,1.7
Jan,2020,33,1.7
Dez,2019,34,1.5
Nov,2019,35,1.1
Okt,2019,36,1.1
Sep,2019,37,1.2
Aug,2019,38,1.4
Jul,2019,39,1.7
Jun,2019,40,1.6
Mai,2019,41,1.4
Apr,2019,42,2
Mär,2019,43,1.3
Feb,2019,44,1.5
Jan,2019,45,1.4
Dez,2018,46,1.6
Nov,2018,47,2.1
Okt,2018,48,2.3
Sep,2018,49,1.9
Aug,2018,50,1.9
Jul,2018,51,1.9
Jun,2018,52,1.9
Mai,2018,53,2.1
Apr,2018,54,1.3
Mär,2018,55,nan
Feb,2018,56,1.1
Jan,2018,57,1.4
Dez,2017,58,1.4
Nov,2017,59,1.6
Okt,2017,60,1.3
Sep,2017,61,1.7
Aug,2017,62,1.6
Jul,2017,63,1.4
Jun,2017,64,1.4
Mai,2017,65,1.2
Apr,2017,66,1.7
Mär,2017,67,1.4
Feb,2017,68,1.9
Jan,2017,69,1.6
